0	7
0	7
0	9
0	9
0	9
0	9
0	9
0	9
0	11
0	11
0	11
0	11
0	11
0	11
0	13
0	13
0	13
0	13
0	15
0	15
1	15
1	15
1	15
1	15
1	17
1	17
1	17
1	17
1	17
1	20
2	20
2	20
2	20
2	20
2	23
2	23
3	23
3	23
3	23
3	23
3	26
3	26
3	26
3	26
3	26
3	28
5	28
5	28
5	28
5	28
5	30
5	30
6	30
6	30
6	30
6	33
6	33
7	33
7	33
7	33
7	33
7	35
9	35
9	35
9	35
9	35
9	36
9	36
11	36
11	36
11	36
11	38
11	38
13	38
13	38
13	38
13	38
13	39
15	39
15	39
15	39
15	39
15	40
17	40
17	40
17	40
17	40
17	41
17	41
20	41
20	41
20	41
20	41
20	42
23	42
23	42
23	42
23	42
23	43
26	43
26	43
26	43
26	43
26	43
26	43
28	43
28	43
28	43
28	44
30	44
30	44
30	44
30	44
30	44
30	44
33	44
33	44
33	44
33	44
33	44
33	44
35	44
35	44
35	44
35	45
36	45
36	45
36	45
36	45
36	45
36	45
38	45
38	45
38	45
38	45
38	45
39	45
39	45
39	45
39	45
39	45
39	45
40	45
40	45
40	45
40	45
40	45
41	45
41	45
41	45
41	45
41	0
42	0
42	0
42	0
42	0
42	0
42	0
43	0
43	0
43	0
43	0
43	0
43	0
43	0
43	0
43	0
43	0
44	0
44	0
44	0
44	0
44	0
44	0
44	0
44	0
44	0
44	0
44	0
44	0
44	0
44	0
44	0
44	0
45	0
45	0
45	0
45	0
45	0
45	0
45	0
45	0
45	0
45	0
45	0
45	0
45	0
45	0
45	0
45	1
45	1
45	1
45	1
45	1
45	1
45	1
45	1
45	1
45	1
45	2
45	2
0	2
0	2
0	2
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	5
0	5
0	5
0	5
0	5
0	6
0	6
0	6
0	6
0	6
0	6
0	7
0	7
0	7
0	7
0	9
0	9
0	9
0	9
0	9
0	9
0	11
0	11
0	11
0	11
0	11
0	11
0	13
0	13
0	13
0	13
0	15
0	15
1	15
1	15
1	15
1	15
1	17
1	17
1	17
1	17
1	17
1	20
2	20
2	20
2	20
2	20
2	23
2	23
3	23
3	23
3	23
3	23
3	26
3	26
3	26
3	26
3	26
3	28
5	28
5	28
5	28
5	28
5	30
5	30
6	30
6	30
6	30
6	33
6	33
7	33
7	33
7	33
7	33
7	35
9	35
9	35
9	35
9	35
9	36
9	36
11	36
11	36
11	36
11	38
11	38
13	38
13	38
13	38
13	38
13	39
15	39
15	39
15	39
15	39
15	40
17	40
17	40
17	40
17	40
17	41
17	41
20	41
20	41
20	41
20	41
20	42
23	42
23	42
23	42
23	42
23	43
26	43
26	43
26	43
26	43
26	43
26	43
28	43
28	43
28	43
28	44
30	44
30	44
30	44
30	44
30	44
30	44
33	44
33	44
33	44
33	44
33	44
33	44
35	44
35	44
35	44
35	45
36	45
36	45
36	45
36	45
36	45
36	45
38	45
38	45
38	45
38	45
38	45
39	45
39	45
39	45
39	45
39	45
39	45
40	45
40	45
40	45
40	45
40	45
41	45
41	45
41	45
41	45
41	0
42	0
42	0
42	0
42	0
42	0
42	0
43	0
43	0
43	0
43	0
43	0
43	0
43	0
43	0
43	0
43	0
44	0
44	0
44	0
